# HSK1 vocabulary — the level-1 word table of the national standard.
#
# source: 《国际中文教育中文水平等级标准》(GF 0025-2021) 6.1 一级词汇表, entries 1-500
# source: http://www.moe.gov.cn/jyb_sjzl/ziliao/A19/202111/W020211118507389477190.pdf
#
# This is the transcription of record: number, the word as the table prints it,
# and the pinyin column as the table prints it. hsk1.txt is derived from this
# file and pipeline/tests/test_wordlist_hsk1.py asserts the two agree, so a
# correction belongs here and is then regenerated with `make wordlist`.
#
# Notation, kept as printed:
#   爸爸|爸      two accepted forms
#   白（形）     part of speech; 第（第二）and 子（桌子）are examples, not forms
#   有（一）些   an optional element inside the word: both forms are words
#   好玩ㄦ       commonly said with erhua
#   帮忙 bāng//máng   a separable verb
#   出来 chū/·lái     a neutral-tone option
#
# Transcribed from the scanned PDF, which carries no text layer. Two machine
# checks stand behind it: the numbering must run 1-500 unbroken, and every
# row's characters must agree with its own pinyin column under pypinyin —
# two independently read columns confirming each other. 47 rows differ only in
# neutral tone (爸爸 bàba against the dictionary form bàbà), which the check
# allows; no row disagreed on a character.
148	后边	hòubian
149	后天	hòutiān
150	花（名）	huā
151	话	huà
152	坏	huài
153	还	huán
154	回（动）	huí
155	回答	huídá
156	回到	huídào
157	回家	huí jiā
158	回来	huí//·lái
159	回去	huí//·qù
160	会（动）	huì
161	火车	huǒchē
162	机场	jīchǎng
163	机票	jīpiào
164	鸡蛋	jīdàn
165	几	jǐ
166	记	jì
167	记得	jìde
168	记住	jìzhù
169	家	jiā
170	家里	jiā li
171	家人	jiārén
172	间	jiān
173	见	jiàn
174	见面	jiàn//miàn
175	教	jiāo
176	叫（动）	jiào
177	教学楼	jiàoxuélóu
178	姐姐|姐	jiějie|jiě
179	介绍	jièshào
180	今年	jīnnián
181	今天	jīntiān
182	进	jìn
183	进来	jìn//·lái
184	进去	jìn//·qù
185	九	jiǔ
186	就	jiù
187	觉得	juéde
188	开	kāi
189	开车	kāi//chē
190	开会	kāi//huì
191	开玩笑	kāi wánxiào
192	看	kàn
193	看病	kàn//bìng
194	看到	kàndào
195	看见	kàn//jiàn
196	考	kǎo
197	考试	kǎo//shì
198	渴	kě
199	课	kè
200	课本	kèběn
201	课文	kèwén
202	口	kǒu
203	块	kuài
204	快	kuài
205	来	lái
206	来到	láidào
207	老（形）	lǎo
208	老人	lǎorén
209	老师	lǎoshī
210	了	le
211	累	lèi
212	冷	lěng
213	里	lǐ
214	里边	lǐbian
215	两（数）	liǎng
216	零|〇	líng|líng
217	六	liù
218	楼	lóu
219	楼上	lóu shàng
220	楼下	lóu xià
221	路	lù
222	路口	lùkǒu
223	路上	lùshang
224	妈妈|妈	māma|mā
225	马路	mǎlù
226	马上	mǎshàng
227	吗	ma
228	买	mǎi
229	慢	màn
230	忙	máng
231	毛（量）	máo
232	没	méi
233	没关系	méi guānxi
234	没什么	méi shénme
235	没事ㄦ	méi//shìr
236	没有	méi·yǒu
237	妹妹|妹	mèimei|mèi
238	门	mén
239	门口	ménkǒu
240	门票	ménpiào
241	们（朋友们）	men
242	米饭	mǐfàn
243	面包	miànbāo
244	面条ㄦ	miàntiáor
245	名字	míngzi
246	明白	míngbai
247	明年	míngnián
248	明天	míngtiān
249	拿	ná
250	哪	nǎ
251	哪里	nǎ·lǐ
252	哪ㄦ	nǎr
253	哪些	nǎxiē
254	那（代）	nà
255	那边	nàbiān
256	那里	nà·lǐ
257	那ㄦ	nàr
258	那些	nàxiē
259	奶	nǎi
260	奶奶	nǎinai
261	男	nán
262	男孩ㄦ	nánháir
263	男朋友	nánpéngyou
264	男人	nánrén
265	男生	nánshēng
266	南	nán
267	南边	nánbian
268	难	nán
269	呢	ne
270	能	néng
271	你	nǐ
272	你们	nǐmen
273	年	nián
274	您	nín
275	牛奶	niúnǎi
276	女	nǚ
277	女儿	nǚ'ér
278	女孩ㄦ	nǚháir
279	女朋友	nǚpéngyou
280	女人	nǚrén
281	女生	nǚshēng
282	旁边	pángbiān
283	跑	pǎo
284	朋友	péngyou
285	票	piào
286	七	qī
287	起	qǐ
288	起床	qǐ//chuáng
289	起来	qǐ//·lái
290	汽车	qìchē
291	前	qián
292	前边	qiánbian
293	前天	qiántiān
294	钱	qián
295	钱包	qiánbāo
296	请	qǐng
297	请假	qǐng//jià
298	请进	qǐng jìn
299	请问	qǐngwèn
300	请坐	qǐng zuò
301	球	qiú
302	去	qù
303	去年	qùnián
304	热	rè
305	人	rén
306	认识	rènshi
307	认真	rènzhēn
308	日	rì
309	日期	rìqī
310	肉	ròu
311	三	sān
312	山	shān
313	商场	shāngchǎng
314	商店	shāngdiàn
315	上	shàng
316	上班	shàng//bān
317	上边	shàngbian
318	上车	shàng chē
319	上次	shàng cì
320	上课	shàng//kè
321	上网	shàng//wǎng
322	上午	shàngwǔ
323	上学	shàng//xué
324	少	shǎo
325	谁	shéi / shuí
326	身上	shēnshang
327	身体	shēntǐ
328	什么	shénme
329	生病	shēng//bìng
330	生气	shēng//qì
331	生日	shēngrì
332	十	shí
333	时候	shíhou
334	时间	shíjiān
335	事	shì
336	试	shì
337	是	shì
338	是不是	shì bu shì
339	手	shǒu
340	手机	shǒujī
341	书	shū
342	书包	shūbāo
343	书店	shūdiàn
344	树	shù
345	水	shuǐ
346	水果	shuǐguǒ
347	睡	shuì
348	睡觉	shuì//jiào
349	说	shuō
350	说话	shuō//huà
351	四	sì
352	送	sòng
353	岁	suì
354	他	tā
355	他们	tāmen
356	她	tā
357	她们	tāmen
358	太	tài
359	天	tiān
360	天气	tiānqì
361	听	tīng
362	听到	tīngdào
363	听见	tīng//jiàn
364	听写	tīngxiě
365	同学	tóngxué
366	图书馆	túshūguǎn
367	外	wài
368	外边	wàibian
369	外国	wàiguó
370	外语	wàiyǔ
371	玩ㄦ	wánr
372	晚	wǎn
373	晚饭	wǎnfàn
374	晚上	wǎnshang
375	网上	wǎng shang
376	网友	wǎngyǒu
377	忘	wàng
378	忘记	wàngjì
379	问	wèn
380	我	wǒ
381	我们	wǒmen
382	五	wǔ
383	午饭	wǔfàn
384	西	xī
385	西边	xībian
386	洗	xǐ
387	洗手间	xǐshǒujiān
388	喜欢	xǐhuan
389	下（名、动）	xià
390	下班	xià//bān
391	下边	xiàbian
392	下车	xià chē
393	下次	xià cì
394	下课	xià//kè
395	下午	xiàwǔ
396	下雨	xià yǔ
397	先	xiān
398	先生	xiānsheng
399	现在	xiànzài
400	想	xiǎng
401	小	xiǎo
402	小孩ㄦ	xiǎoháir
403	小姐	xiǎojiě
404	小朋友	xiǎopéngyǒu
405	小时	xiǎoshí
406	小学	xiǎoxué
407	小学生	xiǎoxuéshēng
408	笑	xiào
409	写	xiě
410	谢谢	xièxie
411	新	xīn
412	新年	xīnnián
413	星期	xīngqī
414	星期日	xīngqīrì
415	星期天	xīngqītiān
416	行	xíng
417	休息	xiūxi
418	学	xué
419	学生	xué·shēng
420	学习	xuéxí
421	学校	xuéxiào
422	学院	xuéyuàn
423	要（动）	yào
424	爷爷	yéye
425	也	yě
426	页	yè
427	一	yī
428	衣服	yīfu
429	医生	yīshēng
430	医院	yīyuàn
431	一半	yíbàn
432	一会ㄦ	yíhuìr
433	一块ㄦ	yíkuàir
434	一下ㄦ	yíxiàr
435	一样	yíyàng
436	一边	yìbiān
437	一点ㄦ	yìdiǎnr
438	一起	yìqǐ
439	一些	yìxiē
440	用	yòng
441	有	yǒu
442	有的	yǒude
443	有名	yǒu//míng
444	有时候|有时	yǒushíhou|yǒushí
445	有（一）些	yǒu(yì)xiē
446	有用	yǒuyòng
447	右	yòu
448	右边	yòubian
449	雨	yǔ
450	元	yuán
451	远	yuǎn
452	月	yuè
453	再	zài
454	再见	zàijiàn
455	在	zài
456	在家	zàijiā
457	早	zǎo
458	早饭	zǎofàn
459	早上	zǎoshang
460	怎么	zěnme
461	站（名）	zhàn
462	找	zhǎo
463	找到	zhǎodào
464	这	zhè
465	这边	zhèbiān
466	这里	zhè·lǐ
467	这ㄦ	zhèr
468	这些	zhèxiē
469	着	zhe
470	真	zhēn
471	真的	zhēn de
472	正（副）	zhèng
473	正在	zhèngzài
474	知道	zhī·dào
475	知识	zhīshi
476	中	zhōng
477	中国	Zhōngguó
478	中间	zhōngjiān
479	中文	Zhōngwén
480	中午	zhōngwǔ
481	中学	zhōngxué
482	中学生	zhōngxuéshēng
483	重	zhòng
484	重要	zhòngyào
485	住	zhù
486	准备	zhǔnbèi
487	桌子	zhuōzi
488	字	zì
489	子（桌子）	zi
490	走	zǒu
491	走路	zǒu//lù
492	最	zuì
493	最好	zuìhǎo
494	最后	zuìhòu
495	昨天	zuótiān
496	左	zuǒ
497	左边	zuǒbian
498	坐	zuò
499	坐下	zuòxia
500	做	zuò
